orderNumber,item,dateIssued,dateChanged,orderStatus,orderTotalValue,approvedBy,supplierVendorCode,productSku,quantity,unitPrice,deliveryDate,still_to_be_delivered_qty,still_to_be_delivered_value,still_to_be_invoiced_qty,still_to_be_invoiced_value,contractReference,paymentTerms,requisitioner,costCenter
PO-5edea32681,1,2025-05-06 11:29:56,2025-05-11 11:29:56,Closed,11841.2,Richard Nelson,SUP-5d1146c8,PROD-4011d4,70,169.16,2025-06-28 11:29:56,0,0.0,2,338.32,,Net 90,Richard Long,CC-141
PO-5edea32681,2,2025-05-06 11:29:56,2025-05-22 11:29:56,Closed,8539.74,James Kaiser,SUP-5d1146c8,PROD-4011d4,19,449.46,2025-06-29 11:29:56,0,0.0,18,8090.28,,Net 30,Brian Patterson,CC-141
PO-5edea32681,3,2025-05-06 11:29:56,2025-05-19 11:29:56,Cancelled,47417.76,Cassandra Hickman,SUP-5d1146c8,PROD-58f4ab,52,911.88,2025-06-05 11:29:56,52,47417.76,52,47417.76,,Net 30,Nicholas Hill,CC-141
PO-5edea32681,4,2025-05-06 11:29:56,2025-05-07 11:29:56,Closed,36628.9,Sharon Mata,SUP-5d1146c8,PROD-f85570,70,523.27,2025-05-26 11:29:56,0,0.0,45,23547.15,CTR-bbe65bde54,Net 30,Renee Reid,CC-141
PO-798b9f4c5d,1,2024-10-16 22:44:55,2024-11-02 22:44:55,Approved,5819.22,Michael Proctor,SUP-f1e94c05,PROD-58f4ab,33,176.34,2024-10-24 22:44:55,33,5819.22,33,5819.22,CTR-49c2fd0ed7,Net 30,Donna Branch,CC-176
PO-798b9f4c5d,2,2024-10-16 22:44:55,2024-11-01 22:44:55,Closed,2757.24,Kevin Estrada,SUP-f1e94c05,PROD-4011d4,37,74.52,2024-11-19 22:44:55,0,0.0,13,968.76,CTR-d90ecb503a,Net 60,Laura Anderson,CC-176
PO-798b9f4c5d,3,2024-10-16 22:44:55,2024-10-18 22:44:55,Pending Approval,17658.899999999998,Jose Mccoy,SUP-f1e94c05,PROD-58f4ab,18,981.05,2024-11-23 22:44:55,18,17658.899999999998,18,17658.899999999998,CTR-56023ce0f7,Net 90,Robert Bennett,CC-176
PO-798b9f4c5d,4,2024-10-16 22:44:55,2024-10-30 22:44:55,Pending Approval,8879.199999999999,Adam Black,SUP-f1e94c05,PROD-be104f,10,887.92,2024-11-03 22:44:55,10,8879.199999999999,10,8879.199999999999,,Net 60,William May,CC-176
PO-798b9f4c5d,5,2024-10-16 22:44:55,2024-11-15 22:44:55,Closed,38981.22,Catherine Suarez,SUP-f1e94c05,PROD-58f4ab,58,672.09,2024-11-07 22:44:55,0,0.0,35,23523.15,,Net 60,Ronald Hall,CC-176
PO-7fbea00ace,1,2024-02-15 23:23:40,2024-03-12 23:23:40,Closed,21315.06,Dr. Ashley Morris,SUP-09b2252b,PROD-be104f,39,546.54,2024-02-22 23:23:40,0,0.0,24,13116.96,,Net 60,Erin Gamble,CC-127
PO-7fbea00ace,2,2024-02-15 23:23:40,2024-02-23 23:23:40,Approved,20855.6,Amanda Schroeder,SUP-09b2252b,PROD-58f4ab,68,306.7,2024-03-07 23:23:40,68,20855.6,68,20855.6,,Net 90,James Collins,CC-127
PO-7fbea00ace,3,2024-02-15 23:23:40,2024-02-22 23:23:40,Closed,4934.04,Daniel Warner,SUP-09b2252b,PROD-603bc4,6,822.34,2024-03-05 23:23:40,0,0.0,1,822.34,,Net 60,Scott Miller,CC-127
PO-7fbea00ace,4,2024-02-15 23:23:40,2024-03-01 23:23:40,Closed,84.3,Teresa Gomez,SUP-09b2252b,PROD-be104f,2,42.15,2024-04-15 23:23:40,0,0.0,0,0.0,,Net 90,Danielle Bray,CC-127
PO-7fbea00ace,5,2024-02-15 23:23:40,2024-02-25 23:23:40,Draft,3463.89,Cindy Gonzales,SUP-09b2252b,PROD-d914c6,59,58.71,2024-03-02 23:23:40,59,3463.89,59,3463.89,,Net 30,Patrick Carlson,CC-127
PO-c7c8da7fcd,1,2025-04-25 02:50:52,2025-05-15 02:50:52,Cancelled,24363.52,Joseph Lee,SUP-aff7db91,PROD-f85570,64,380.68,2025-05-09 02:50:52,64,24363.52,64,24363.52,CTR-271ab1524f,Net 30,Sean Mccarthy,CC-145
PO-c7c8da7fcd,2,2025-04-25 02:50:52,2025-04-29 02:50:52,Approved,9919.0,Misty Mitchell,SUP-aff7db91,PROD-58f4ab,35,283.4,2025-05-13 02:50:52,35,9919.0,35,9919.0,,Net 30,Cynthia Palmer DDS,CC-145
PO-767511ef79,1,2025-08-14 07:52:12,2025-09-12 07:52:12,Closed,27547.74,David Dean,SUP-f23a29b3,PROD-d914c6,66,417.39,2025-09-22 07:52:12,0,0.0,21,8765.19,CTR-60b2aa6148,Net 90,Matthew Morris,CC-109
PO-995be462ce,1,2024-04-29 11:31:29,2024-05-10 11:31:29,Issued,27357.0,David Hardin,SUP-f23a29b3,PROD-be104f,44,621.75,2024-06-10 11:31:29,39,24248.25,41,25491.75,,Net 30,Charlene Long,CC-109
